Product Name,Product Link,Price,Rating,Summary Sentiment,Sentiment Score
"Nutricost Passion Flower Extract (1,500mg Equivalent) 120 Capsules - Gluten Free, Non-GMO, and Vegetarian Friendly",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NzEzNjA2NjAzMjcxMjg3OjE3MjkxNDk2Mzk6c3BfYXRmOjIwMDA1NDc5OTkxNDY5ODo6MDo6&url=%2FNutricost-Passion-Extract-Equivalent-Capsules%2Fdp%2FB09P49D4HC%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.7l6dSlGs-tNaYqzSSbGRqan-dwZ_Q1qxE0BkfrwVT2-SUdqZLzEY4E_HX8X-bS5wW26NetfQVfSVKrhCBgixHrzFzr--coLARiix5CLLGUshA3Hpz8gc3C3hCM4ojlaRiYE-G3N0rNJgyi7dflU0t_HJpLLCe4l4BLdbGEeb1NQAwRAW6sQchNEwwMrMpq_0CY3TLa6P1h4xqC8fNQSbNsud-DriKrMkPiZR1JXpbvP0oeN4uXpFagH_W715i-rjauIetC963urGXu0Nhb1aGeHK8zonmQdW27k4uzzUS8Y.TRqqoPYFZoNhkrprqE8t72mQNGAzayYSBepOg8AUySQ%26dib_tag%3Dse%26keywords%3Dpassion%2Bflower%26qid%3D1729149639%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,$9.95,4.4 out of 5 stars,Positive,0.5313222222222221
"Frontier Co-op Passion Flower Herb, Cut & Sifted, Kosher, Non-irradiated | 1 lb. Bulk Bag | Passiflora incarnata L.",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NzEzNjA2NjAzMjcxMjg3OjE3MjkxNDk2Mzk6c3BfYXRmOjMwMDMzOTQ4MzgxMzQwMjo6MDo6&url=%2FFrontier-Co-op-Non-irradiated-Passiflora-incarnata%2Fdp%2FB00C0SRWQ0%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.7l6dSlGs-tNaYqzSSbGRqan-dwZ_Q1qxE0BkfrwVT2-SUdqZLzEY4E_HX8X-bS5wW26NetfQVfSVKrhCBgixHrzFzr--coLARiix5CLLGUshA3Hpz8gc3C3hCM4ojlaRiYE-G3N0rNJgyi7dflU0t_HJpLLCe4l4BLdbGEeb1NQAwRAW6sQchNEwwMrMpq_0CY3TLa6P1h4xqC8fNQSbNsud-DriKrMkPiZR1JXpbvP0oeN4uXpFagH_W715i-rjauIetC963urGXu0Nhb1aGeHK8zonmQdW27k4uzzUS8Y.TRqqoPYFZoNhkrprqE8t72mQNGAzayYSBepOg8AUySQ%26dib_tag%3Dse%26keywords%3Dpassion%2Bflower%26qid%3D1729149639%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,$19.75,4.7 out of 5 stars,Positive,0.4784875
"Maxx Herb Passion Flower Extract - Max Strength Passion-Flower Liquid Absorbs Better Than Capsules, for Relaxation and Stress Relief, Alcohol-Free - 4 Oz Bottle (60 Servings)",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NzEzNjA2NjAzMjcxMjg3OjE3MjkxNDk2Mzk6c3BfYXRmOjMwMDQzNzQ1Nzc1NDIwMjo6MDo6&url=%2FMaxx-Herb-Passionflower-Relaxation-Alcohol-Free%2Fdp%2FB07XR74G7N%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.7l6dSlGs-tNaYqzSSbGRqan-dwZ_Q1qxE0BkfrwVT2-SUdqZLzEY4E_HX8X-bS5wW26NetfQVfSVKrhCBgixHrzFzr--coLARiix5CLLGUshA3Hpz8gc3C3hCM4ojlaRiYE-G3N0rNJgyi7dflU0t_HJpLLCe4l4BLdbGEeb1NQAwRAW6sQchNEwwMrMpq_0CY3TLa6P1h4xqC8fNQSbNsud-DriKrMkPiZR1JXpbvP0oeN4uXpFagH_W715i-rjauIetC963urGXu0Nhb1aGeHK8zonmQdW27k4uzzUS8Y.TRqqoPYFZoNhkrprqE8t72mQNGAzayYSBepOg8AUySQ%26dib_tag%3Dse%26keywords%3Dpassion%2Bflower%26qid%3D1729149639%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,$32.95,4.3 out of 5 stars,Positive,0.5204222222222223
"Botanic Choice Passion Flower Liquid Extract - Alcohol-Free Herbal Supplement, Traditional Support for Relaxation - 1 Fl. Oz",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NzEzNjA2NjAzMjcxMjg3OjE3MjkxNDk2Mzk6c3BfYXRmOjIwMDA3MzUyNzM0MDg5ODo6MDo6&url=%2FBotanic-Choice-Passion-Alcohol-Extract%2Fdp%2FB007N05VHC%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.7l6dSlGs-tNaYqzSSbGRqan-dwZ_Q1qxE0BkfrwVT2-SUdqZLzEY4E_HX8X-bS5wW26NetfQVfSVKrhCBgixHrzFzr--coLARiix5CLLGUshA3Hpz8gc3C3hCM4ojlaRiYE-G3N0rNJgyi7dflU0t_HJpLLCe4l4BLdbGEeb1NQAwRAW6sQchNEwwMrMpq_0CY3TLa6P1h4xqC8fNQSbNsud-DriKrMkPiZR1JXpbvP0oeN4uXpFagH_W715i-rjauIetC963urGXu0Nhb1aGeHK8zonmQdW27k4uzzUS8Y.TRqqoPYFZoNhkrprqE8t72mQNGAzayYSBepOg8AUySQ%26dib_tag%3Dse%26keywords%3Dpassion%2Bflower%26qid%3D1729149639%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,$12.99,4.4 out of 5 stars,Positive,0.6773750000000001
Horbäach Passion Flower Capsules | 2200mg | 90 Count | Non-GMO & Gluten Free Extract Supplement,https://www.amazon.com/Passion-Capsules-Non-GMO-Supplement-Horbaach/dp/B08SR9PMTJ/ref=sr_1_5?dib=eyJ2IjoiMSJ9.7l6dSlGs-tNaYqzSSbGRqan-dwZ_Q1qxE0BkfrwVT2-SUdqZLzEY4E_HX8X-bS5wW26NetfQVfSVKrhCBgixHrzFzr--coLARiix5CLLGUshA3Hpz8gc3C3hCM4ojlaRiYE-G3N0rNJgyi7dflU0t_HJpLLCe4l4BLdbGEeb1NQAwRAW6sQchNEwwMrMpq_0CY3TLa6P1h4xqC8fNQSbNsud-DriKrMkPiZR1JXpbvP0oeN4uXpFagH_W715i-rjauIetC963urGXu0Nhb1aGeHK8zonmQdW27k4uzzUS8Y.TRqqoPYFZoNhkrprqE8t72mQNGAzayYSBepOg8AUySQ&dib_tag=se&keywords=passion+flower&qid=1729149639&sr=8-5,$7.64,4.4 out of 5 stars,Mixed,0.15033749999999999
"NOW Foods Supplements, Passion Flower (Passiflora incarnata) 350 mg, Natural Stress Relief*, 90 Veg Capsules",https://www.amazon.com/NOW-Passion-Flower-350-Capsules/dp/B002J0KCQ6/ref=sr_1_6?dib=eyJ2IjoiMSJ9.7l6dSlGs-tNaYqzSSbGRqan-dwZ_Q1qxE0BkfrwVT2-SUdqZLzEY4E_HX8X-bS5wW26NetfQVfSVKrhCBgixHrzFzr--coLARiix5CLLGUshA3Hpz8gc3C3hCM4ojlaRiYE-G3N0rNJgyi7dflU0t_HJpLLCe4l4BLdbGEeb1NQAwRAW6sQchNEwwMrMpq_0CY3TLa6P1h4xqC8fNQSbNsud-DriKrMkPiZR1JXpbvP0oeN4uXpFagH_W715i-rjauIetC963urGXu0Nhb1aGeHK8zonmQdW27k4uzzUS8Y.TRqqoPYFZoNhkrprqE8t72mQNGAzayYSBepOg8AUySQ&dib_tag=se&keywords=passion+flower&qid=1729149639&sr=8-6,$11.01,4.5 out of 5 stars,Positive,0.3288461538461538
"Nutricost Passion Flower Extract (1,500mg Equivalent) 120 Capsules - Gluten Free, Non-GMO, and Vegetarian Friendly",https://www.amazon.com/Nutricost-Passion-Extract-Equivalent-Capsules/dp/B09P49D4HC/ref=sr_1_7?dib=eyJ2IjoiMSJ9.7l6dSlGs-tNaYqzSSbGRqan-dwZ_Q1qxE0BkfrwVT2-SUdqZLzEY4E_HX8X-bS5wW26NetfQVfSVKrhCBgixHrzFzr--coLARiix5CLLGUshA3Hpz8gc3C3hCM4ojlaRiYE-G3N0rNJgyi7dflU0t_HJpLLCe4l4BLdbGEeb1NQAwRAW6sQchNEwwMrMpq_0CY3TLa6P1h4xqC8fNQSbNsud-DriKrMkPiZR1JXpbvP0oeN4uXpFagH_W715i-rjauIetC963urGXu0Nhb1aGeHK8zonmQdW27k4uzzUS8Y.TRqqoPYFZoNhkrprqE8t72mQNGAzayYSBepOg8AUySQ&dib_tag=se&keywords=passion+flower&qid=1729149639&sr=8-7,$9.95,4.4 out of 5 stars,Positive,0.5313222222222221
"SOLARAY Passion Flower 700 mg Whole Aerial - Soothing Herbal Support - Passion Flower Capsules - Vegan, Non-GMO, 60-Day Guarantee, Lab Verified - 50 Servings, 100 VegCaps",https://www.amazon.com/Solaray-Passion-Flower-350mg-Capsules/dp/B000I4C48O/ref=sr_1_8?dib=eyJ2IjoiMSJ9.7l6dSlGs-tNaYqzSSbGRqan-dwZ_Q1qxE0BkfrwVT2-SUdqZLzEY4E_HX8X-bS5wW26NetfQVfSVKrhCBgixHrzFzr--coLARiix5CLLGUshA3Hpz8gc3C3hCM4ojlaRiYE-G3N0rNJgyi7dflU0t_HJpLLCe4l4BLdbGEeb1NQAwRAW6sQchNEwwMrMpq_0CY3TLa6P1h4xqC8fNQSbNsud-DriKrMkPiZR1JXpbvP0oeN4uXpFagH_W715i-rjauIetC963urGXu0Nhb1aGeHK8zonmQdW27k4uzzUS8Y.TRqqoPYFZoNhkrprqE8t72mQNGAzayYSBepOg8AUySQ&dib_tag=se&keywords=passion+flower&qid=1729149639&rdc=1&sr=8-8,$10.99,4.5 out of 5 stars,Positive,0.38765000000000005
"Horbäach Passion Flower Tincture | 2 fl oz | Alcohol Free Liquid Extract Drops | Super Concentrated Supplement | Vegetarian, Non-GMO, Gluten Free",https://www.amazon.com/Horbaach-Concentrated-Vegetarian-Tincture-Supplement/dp/B07NSK5NTX/ref=sr_1_9?dib=eyJ2IjoiMSJ9.7l6dSlGs-tNaYqzSSbGRqan-dwZ_Q1qxE0BkfrwVT2-SUdqZLzEY4E_HX8X-bS5wW26NetfQVfSVKrhCBgixHrzFzr--coLARiix5CLLGUshA3Hpz8gc3C3hCM4ojlaRiYE-G3N0rNJgyi7dflU0t_HJpLLCe4l4BLdbGEeb1NQAwRAW6sQchNEwwMrMpq_0CY3TLa6P1h4xqC8fNQSbNsud-DriKrMkPiZR1JXpbvP0oeN4uXpFagH_W715i-rjauIetC963urGXu0Nhb1aGeHK8zonmQdW27k4uzzUS8Y.TRqqoPYFZoNhkrprqE8t72mQNGAzayYSBepOg8AUySQ&dib_tag=se&keywords=passion+flower&qid=1729149639&sr=8-9,$9.99,4.3 out of 5 stars,Positive,0.36525555555555556
"Frontier Co-op Passion Flower Herb, Cut & Sifted, Kosher, Non-irradiated | 1 lb. Bulk Bag | Passiflora incarnata L.",https://www.amazon.com/Frontier-Co-op-Non-irradiated-Passiflora-incarnata/dp/B00C0SRWQ0/ref=sr_1_10?dib=eyJ2IjoiMSJ9.7l6dSlGs-tNaYqzSSbGRqan-dwZ_Q1qxE0BkfrwVT2-SUdqZLzEY4E_HX8X-bS5wW26NetfQVfSVKrhCBgixHrzFzr--coLARiix5CLLGUshA3Hpz8gc3C3hCM4ojlaRiYE-G3N0rNJgyi7dflU0t_HJpLLCe4l4BLdbGEeb1NQAwRAW6sQchNEwwMrMpq_0CY3TLa6P1h4xqC8fNQSbNsud-DriKrMkPiZR1JXpbvP0oeN4uXpFagH_W715i-rjauIetC963urGXu0Nhb1aGeHK8zonmQdW27k4uzzUS8Y.TRqqoPYFZoNhkrprqE8t72mQNGAzayYSBepOg8AUySQ&dib_tag=se&keywords=passion+flower&qid=1729149639&sr=8-10,$19.75,4.7 out of 5 stars,Positive,0.4784875
