,product_id,share_reviews_with,Unnamed: 3,Unnamed: 4
0,72084,,,
1,117600,,,
2,18995,,,
3,18044,,,
4,129090,,,
5,5222,,,
6,30819,,,
7,110043,,,
8,5181,,,
9,6802,,,
10,117658,,,
11,124355,,,
12,51408,,,
13,5229,,,
14,120250,,,
15,122722,,,
16,117952,,,
17,4635,,,
18,10998,,,
19,118385,,,
20,2992,,,
21,88572,,,
22,132382,,,
23,144948,,,
24,132384,,,
25,3054,,,
26,141146,,,
27,135840,,,
28,83009,128584.0,,
29,128567,,,
30,134943,,,
31,20583,,,
33,132432,,,
34,76632,,,
35,33748,,,
36,98964,,,
37,110467,,,
38,85156,,,
39,126453,,,
40,15871,,,
41,37431,,,
42,38862,123050.0,,
43,43957,,,
44,63371,,,
45,126441,,,
46,4861,69845.0,,
47,15862,143354.0,84777.0,133063.0
48,98973,,,
49,46061,,,
50,139356,,,
51,117853,,,
52,116490,,,
53,129076,,,
54,141633,,,
55,142876,,,
56,101871,,,
57,70019,19002.0,,
58,69502,,,
59,101961,,,
60,5500,,,
61,101666,,,
62,132556,,,
63,102025,,,
64,113252,,,
65,141624,,,
66,136117,,,
67,113924,,,
68,126027,,,
69,4605,,,
70,56485,,,
71,101873,,,
72,107213,,,
73,116611,,,
74,6807,,,
75,119186,119166.0,,
76,142999,,,
77,39374,,,
78,122463,,,
79,101874,,,
80,139458,,,
81,137864,,,
82,119187,119167.0,,
83,113157,113156.0,,
84,115403,,,
85,107739,,,
86,119320,,,
87,55506,,,
88,129640,129639.0,,
89,73738,,,
90,119164,119188.0,,
91,106752,,,
92,133621,,,
93,85257,,,
94,121027,,,
95,145387,,,
96,99064,,,
97,69776,,,
98,132814,,,
99,132873,,,
100,132798,,,
101,74978,,,
102,130782,,,
103,72473,,,
104,86251,,,
105,138806,,,
106,19007,,,
107,74979,,,
108,137739,,,
109,139344,,,
110,121388,,,
111,103615,,,
112,120864,,,
113,144857,129043.0,,
114,50270,,,
115,70243,,,
116,140520,,,
117,57444,,,
118,126043,,,
119,106908,,,
120,126451,,,
121,124380,,,
122,18655,14534.0,,
123,81876,,,
124,126449,,,
125,23914,,,
126,119190,,,
127,105634,,,
128,66284,,,
129,116630,,,
130,106664,,,
131,132439,,,
132,126042,,,
133,126003,,,
134,116928,,,
135,56089,,,
136,130543,,,
137,134730,,,
138,20582,138727.0,,
139,111126,,,
140,70134,,,
141,2694,,,
142,111453,,,
143,79840,,,
144,42971,,,
145,121090,121102.0,,
146,132404,,,
147,132392,,,
148,111135,,,
149,114587,,,
150,142271,,,
151,15856,133064.0,,
152,110364,,,
153,144472,,,
154,15315,,,
155,131427,,,
156,81546,,,
157,120042,,,
158,18185,,,
159,121028,,,
160,108969,,,
161,1358,,,
162,81880,,,
163,122141,,,
164,144204,,,
165,144348,,,
166,1344,,,
167,117069,,,
168,99144,,,
169,77534,,,
170,140624,,,
171,102037,69695.0,,
172,81233,,,
173,116626,,,
174,116635,,,
175,121078,,,
176,135702,,,
177,140146,,,
178,134216,,,
179,138322,,,
180,96712,,,
181,132398,,,
182,68757,,,
183,46689,,,
184,118444,,,
185,107931,,,
186,116631,,,
187,120529,,,
188,99634,,,
189,7503,,,
190,33841,,,
191,80498,,,
192,136325,,,
193,139382,,,
194,39945,,,
195,142453,,,
196,122153,,,
197,142214,,,
198,132394,,,
199,85264,,,
200,138810,,,
201,143821,,,
202,141922,,,
203,9576,,,
204,114393,,,
205,122147,,,
206,116775,,,
207,135782,,,
208,54199,,,
209,103183,,,
210,41988,,,
211,122238,,,
212,86581,7309.0,,
213,127940,,,
214,98809,,,
215,142835,,,
216,54966,,,
217,125237,,,
218,114921,,,
219,113814,,,
220,133367,,,
221,116158,,,
222,12130,,,
223,69450,,,
224,130624,,,
225,138813,138812.0,,
226,128797,,,
227,136121,,,
228,104248,,,
229,145321,,,
230,119538,,,
231,126299,,,
232,83023,,,
233,116900,,,
234,141456,,,
235,127520,,,
236,120763,,,
237,131218,,,
238,136408,,,
239,21595,,,
240,143225,,,
241,1236,,,
242,143824,,,
243,112161,,,
244,112162,,,
245,39218,68758.0,,
246,39650,,,
247,134213,,,
248,139804,,,
249,115904,,,
250,112163,,,
251,63577,,,
252,120860,,,
253,103318,,,
254,107065,,,
255,8175,,,
256,124252,,,
257,71052,,,
