,product_id,date_posted,review_title,review_text,scores,compound,sentiment
0,111126,2024-06-07,Amazing product for sleep,"I came to this brand - Banyan - a few months ago, as I was taking their Healthy Hair, which has helped me a lot. I Sleep Soundly is also amazing and impressive product. I take it only on evenings when I´m nervous or stressed and it helps me calm down and slow my thoughts  so that I can sleep more deeply and soundly. I like it´s herbal composition. Pure quality as well.","{'neg': 0.058, 'neu': 0.692, 'pos': 0.251, 'compound': 0.9333}",0.9333,pos
1,111126,2024-05-13,,My mom had sleep problems for a while and I tried to find a natural alternative to help her sleep. It made a huge difference. Getting it second time!,"{'neg': 0.086, 'neu': 0.667, 'pos': 0.247, 'compound': 0.6239}",0.6239,pos
2,111126,2024-06-17,The results are in!,"This product delivers what it says, sleep soundly! Difficulty to calm down often occurs with a stressful day, and I Sleep Soundly smooths out the emotions for a restful sleep!","{'neg': 0.184, 'neu': 0.675, 'pos': 0.141, 'compound': -0.3578}",-0.3578,neg
3,111126,2024-04-08,Clean and good sleep aid!,Clean and good sleep aid with Ayurvedic herbs! l LOVE THE BRAND BANYAN BOTANICALS. Helps me relax and sleep deep! I love this product! If it wasn't so expensive I would buy it always!,"{'neg': 0.0, 'neu': 0.539, 'pos': 0.461, 'compound': 0.9698}",0.9698,pos
4,111126,2024-03-02,,"I’ve tried many sleep supplements but this one is my go to! I find it helps to rotate them for effectiveness, but this is the one I take most often.","{'neg': 0.0, 'neu': 0.88, 'pos': 0.12, 'compound': 0.5707}",0.5707,pos
5,111126,2023-11-01,Contradictory feelings,"Actually I like Natural factors betters because even one pill helped me. As for these ones, I take 2 pills as recommended and I can't say I fall asleep immediately but al least I don't wake up throughout the night. ","{'neg': 0.0, 'neu': 0.864, 'pos': 0.136, 'compound': 0.4404}",0.4404,pos
6,111126,2024-09-07,Worth trying,There are lots of good reviews but this did not help me with my sleep. I know it works for lots of people so it is worth trying,"{'neg': 0.091, 'neu': 0.76, 'pos': 0.149, 'compound': 0.2044}",0.2044,pos
7,111126,2023-11-13,Not sure about these,I love this brand and maybe wishing to sleep better during menopause is a tall order but this hasn’t helped me at all - yet. I will continue but for me the teas just before bed are better. ,"{'neg': 0.0, 'neu': 0.72, 'pos': 0.28, 'compound': 0.8519}",0.8519,pos
8,111126,2023-03-13,Excellent! ,"The name really fits! I have used many herbal sleep supplements, and Banyan I Sleep Soundly is the best one I have found.  The ingredients are safe; excellent quality. I prefer a sleep supplement that doesn't contain melatonin (so I don't disturb my body's own melatonin production), and this supplement fits that criterion.  Easy-to-take size.","{'neg': 0.0, 'neu': 0.771, 'pos': 0.229, 'compound': 0.9239}",0.9239,pos
9,111126,2024-08-09,Quality ingredients ,"Great sleep after taking this, stopped waking up in the middle of the night ","{'neg': 0.117, 'neu': 0.658, 'pos': 0.225, 'compound': 0.4543}",0.4543,pos
10,111126,2023-04-23,,I use this interchangely with lemon balm as a sleep aid (cycle every few months). Quality seems good as I use only 1 pill instead of the recommended dosage (with magnesium glycinate) each night. It's pretty strong herby taste but not overwhelming. ,"{'neg': 0.0, 'neu': 0.817, 'pos': 0.183, 'compound': 0.6808}",0.6808,pos
11,111126,2023-03-18,,"I like the ingredients of this preparation, although it doesn’t always overcome my sleeplessness.   Most of the time I take 2 tablets, and it seems to work pretty fast.  But for me, sometimes it seems nothing is going to stop my brain. Guess it depends on what other things (like certain B vitamins) are at play. ","{'neg': 0.076, 'neu': 0.764, 'pos': 0.159, 'compound': 0.6124}",0.6124,pos
12,111126,2024-02-28,Kept me awake,"Not only did it not work at all, it tasted terrible.  The consistency of this product is not user friendly. And too large.  Waste of my money.
","{'neg': 0.262, 'neu': 0.738, 'pos': 0.0, 'compound': -0.819}",-0.819,neg
13,111126,2022-05-16,,"These pills have been amazing in my quest for sleep! They are all natural and do not leave me feeling groggy the next day. Not only do I fall asleep more easily, I stay asleep! This is the best price I have seen for these and iHerb had them in stock when they were sold out everywhere else. Highly recommend Banyan and iHerb!","{'neg': 0.019, 'neu': 0.732, 'pos': 0.249, 'compound': 0.9489}",0.9489,pos
14,111126,2023-08-10,"good quality, gentle medicine","Somewhat helpful in getting back to sleep when I wake in the middle of night, but quite 'gentle'. Will be great if you have very milld insomnia. Energetically, I can feel it's an excellent quality product, just not quite strong enough for me.","{'neg': 0.069, 'neu': 0.638, 'pos': 0.293, 'compound': 0.9283}",0.9283,pos
15,111126,2022-04-23,Good to have in your insomnia collection,"This product has a somewhat different ingredient list to many of the other sleep formulas so if you have become used to the others, and they have stopped working, this is a good alternative. It works as well as my other most used sleep potions. Which is to say - I still don't sleep through but I sleep better than if I didn't take it. Quite expensive though.","{'neg': 0.022, 'neu': 0.868, 'pos': 0.11, 'compound': 0.7096}",0.7096,pos
16,111126,2022-09-02,,"my first time use of this product, I rate it as effective, really helps falls asleep better and remain asleep longer.  i take 2 depends on the necessity... overall, quite effective ","{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.8999}",0.8999,pos
17,111126,2023-07-14,Works for me,"This was a really good choice. More expensive than other sleep supplements, but worth it.","{'neg': 0.0, 'neu': 0.73, 'pos': 0.27, 'compound': 0.5341}",0.5341,pos
18,111126,2023-07-05,Helps me sleep ,I like the quality organic ingredients and they help me stay asleep better.,"{'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.7964}",0.7964,pos
19,111126,2023-03-27,,"I slept deep but not for long, comfortable and no dizzy feeling  ","{'neg': 0.499, 'neu': 0.401, 'pos': 0.1, 'compound': -0.7878}",-0.7878,neg
20,111126,2024-04-27,Didn’t work for me,Love Banyan’s triphala powder and tabs but this one did nothing for me.,"{'neg': 0.0, 'neu': 0.822, 'pos': 0.178, 'compound': 0.3818}",0.3818,pos
21,111126,2022-12-17,,got this as a gift for my in laws for difficulties in sleeping. love the packaging ,"{'neg': 0.103, 'neu': 0.563, 'pos': 0.333, 'compound': 0.7096}",0.7096,pos
22,111126,2022-12-14,,I like the natural components. I take 3-5 pills to get the effect,"{'neg': 0.0, 'neu': 0.643, 'pos': 0.357, 'compound': 0.6124}",0.6124,pos
23,111126,2022-05-15,,We trust Banyan’s quality products.  Have been using I Sleep Soundly for several years and count on it for sound sleep.,"{'neg': 0.0, 'neu': 0.852, 'pos': 0.148, 'compound': 0.5106}",0.5106,pos
24,111126,2022-03-20,,"Quality product, effective! Works like a charm. ","{'neg': 0.0, 'neu': 0.259, 'pos': 0.741, 'compound': 0.8221}",0.8221,pos
25,111126,2022-08-20,,Pressed pills. I sleep soundly with 1 -2 pills. ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu
26,111126,2024-04-29,Amulets,"I've been doing self-study on sleep for a long time. There are times when I wake up feeling refreshed, and other times when I feel like I'm stuck to the floor and can't wake up.
","{'neg': 0.057, 'neu': 0.829, 'pos': 0.114, 'compound': 0.25}",0.25,pos
27,111126,2024-10-11,,"Excellent composition, supports the nervous system well. Has a cumulative effect, so for the best result it is necessary to take it regularly ","{'neg': 0.066, 'neu': 0.534, 'pos': 0.401, 'compound': 0.8925}",0.8925,pos
28,111126,2024-08-14,excellent,"Quality of an important ingredient, good dosage, good benefits, I'm just starting out, the product seems to be fine","{'neg': 0.0, 'neu': 0.538, 'pos': 0.462, 'compound': 0.875}",0.875,pos
