,Unnamed: 0,product_id,date_posted,review_title,review_text,scores,compound,sentiment
0,0,106908,2024-02-29,Sleep + pain relief ,"I originally bought this product elsewhere and I was disappointed when it was discontinued. When I found it here I ended up buying 2, and I will definitely continue ordering it! It’s helped me get better sleep and since I suffer from migraines it keeps the pain at bay. ","{'neg': 0.189, 'neu': 0.706, 'pos': 0.104, 'compound': -0.68}",-0.68,neg
1,1,106908,2024-01-28,Very good ,"I think this is helping.   I seem to be sleeping better when I take this!  I don’t take it every night, but I the nights I do take it, it seems to work.  I do notice that it’s better to take it about an hour or so before bed.  Give it time to kick in.  ","{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.7712}",0.7712,pos
2,2,106908,2024-06-26,Proven Quality 💛,"Thank you for your outstanding supplements! The quality is top-notch, with carefully selected ingredients that deliver exceptional benefits. Your products have truly made a positive difference in my health and well-being. Nice packaging too, iHerb! ","{'neg': 0.0, 'neu': 0.569, 'pos': 0.431, 'compound': 0.9611}",0.9611,pos
3,3,106908,2023-12-09,Gentle sleep product,This product is great at night because the herbs help with inflammation and help you rest. If one needs more melatonin you can add some.,"{'neg': 0.0, 'neu': 0.698, 'pos': 0.302, 'compound': 0.8591}",0.8591,pos
4,4,106908,2023-11-29,Restful sleep,"I really have a hard time falling asleep and staying asleep, but have found after using these supplements for a few weeks that I fall asleep sooner and wake up less in the middle of the night.","{'neg': 0.078, 'neu': 0.922, 'pos': 0.0, 'compound': -0.1628}",-0.1628,neg
5,5,106908,2023-08-11,Sleep time,"Great product. Helps me relax and fall asleep and stay asleep.  I like that Melatonin is kept to a minimum. Not taking this for pain, but ""healthy inflammation blend"" is a boost. Love Ginger, Turmeric, cinnamon, Rosemary, Valerian, etc. I don't take it every night in order to give my body a pause. I also alternate this with other products like herb teas.","{'neg': 0.029, 'neu': 0.628, 'pos': 0.343, 'compound': 0.9702}",0.9702,pos
6,6,106908,2024-07-08,Restful Sleep and pain relief,I always get a great night's sleep with this product.  The dosage is perfect. This product doesn't linger into the next day.,"{'neg': 0.0, 'neu': 0.698, 'pos': 0.302, 'compound': 0.8316}",0.8316,pos
7,7,106908,2024-03-25,,Helps w insomnia. Can give you a headache or make you feel weird when you are falling asleep but overall helpful ,"{'neg': 0.114, 'neu': 0.648, 'pos': 0.238, 'compound': 0.5927}",0.5927,pos
8,8,106908,2023-09-29,Great product,"Absolutely love it, gets me through the night with restful sleep and helps a lot with my back pain during the sleep.highly recommended. Indeed amazing quality and only natural ingredients ","{'neg': 0.077, 'neu': 0.512, 'pos': 0.412, 'compound': 0.9245}",0.9245,pos
9,9,106908,2023-08-16,,"Great quality and ingredients! I am not sure about it’s full potential yet since I didn’t take it too long, but looks like I’m sleeping a bit better! I am insomnia for many years and nothing helps ","{'neg': 0.1, 'neu': 0.659, 'pos': 0.241, 'compound': 0.7892}",0.7892,pos
10,10,106908,2023-07-02,Helps with sleep but . ,"I took this once last year, so reordered since having some sleep issues. 
Sleep is good but not without bathroom interruptions. So still not a complete 6-7 hour sleep as hoped. 





","{'neg': 0.071, 'neu': 0.77, 'pos': 0.159, 'compound': 0.4504}",0.4504,pos
11,11,106908,2022-08-02,Excellent and effective!,"It's rare to actually find something that will ease the mind into peaceful submission and allow me to sleep...I've been an extreme night owl for most of my adult life and this helps when nothing else has.  I don't really think about subtle aches and pain keeping me from resting, but New Chapter Restful Sleep and Pain Relief is my new go-to!  So glad I took the chance and tried it!","{'neg': 0.092, 'neu': 0.657, 'pos': 0.252, 'compound': 0.9205}",0.9205,pos
12,12,106908,2021-12-29,Excellent for my fibromyalgia ,"I bought this as an alternative to having to take prescriptions at night. While I cannot go without my prescriptions, I have been able to use this on my better days and lower my prescription dosage at bedtime. It helps me sleep and relieves my hypersensitivity issues at night. I notice it also helps my arthritis in my spine, I wake up able to move, when before I’d have to quite literally roll out of bed unable to stand with ease. I will absolutely keep taking this, it’s easy to swallow, I honestly feel less pain, and wake up better rested and no grogginess. ","{'neg': 0.064, 'neu': 0.746, 'pos': 0.19, 'compound': 0.9259}",0.9259,pos
13,13,106908,2021-12-28,,"I don't use these - I buy them for a friend that has PTSD and nerve damage to the arm.  He says it's the only thing that helps him sleep without waking up in a panic.  I like the homeopathic ingredients - they make sense to me, and the benefit is obviously there !!! ","{'neg': 0.109, 'neu': 0.687, 'pos': 0.204, 'compound': 0.6884}",0.6884,pos
14,14,106908,2022-11-13,,"I really like New Chapter's products. 
This will help you against stress. ","{'neg': 0.172, 'neu': 0.491, 'pos': 0.337, 'compound': 0.4005}",0.4005,pos
15,15,106908,2022-04-17,"Been using it for 2 weeks, but dont feel properly effect","I've been using melatonin drops for the nights I struggle to get some sleep, and been getting pretty good effects of the drops. I was hoping to get effect of this product too, but dont feel any obvious effect yet. I dont feel any tired or effect of the tablets after 1-2 hours, so i dont know how much effect i get. I was hoping for more effect. But i am very happy of the ingredients list and New Chapter has very good quality products.","{'neg': 0.018, 'neu': 0.747, 'pos': 0.236, 'compound': 0.9659}",0.9659,pos
