,product_id,date_posted,review_title,review_text,scores,compound,sentiment
0,10998,2024-05-16,Helping me during my postpartum blues ,I struggle with anxiety and during the first few weeks after delivering my baby I couldn’t manage it on my own. I bought this tincture along with other supplements to help me sleep and feel better overall. It works! I have it on hand in my medicine cabinet now. ,"{'neg': 0.075, 'neu': 0.753, 'pos': 0.171, 'compound': 0.7263}",0.7263,pos
1,10998,2024-07-29,Great quality,This passionflower is a great benefit when needed. The dosage seems to work well and quickly to help our family de stress. The company always produces a high quality product with quality ingredients. We use for anxiety and or to help relax for going to sleep. Always satisfied with the results. ,"{'neg': 0.069, 'neu': 0.599, 'pos': 0.332, 'compound': 0.9442}",0.9442,pos
2,10998,2024-05-29,Good for anxiety,"I've been taking passion flower when I know I will have a stressful day or when I already feel some anxiety coming on and it really helps to relax me and my nervous system. It works quite fast for me. I also sometimes take it before bed. But for me it is best for my anxiety, nervous system as I have tried other things that are too strong. This is a nice more subtle impact- ","{'neg': 0.112, 'neu': 0.657, 'pos': 0.23, 'compound': 0.9221}",0.9221,pos
3,10998,2024-05-14,Works for sleep,"I don't use this for anxiety. I keep this on my nightstand in case I wake up in the middle of the night and can't get back to sleep. I put a dropper full in a small glass of water to reduce the strong flavor/alcohol. That's about the only thing I don't like about this product, is that it kinda burns if you put it directly in your mouth.","{'neg': 0.058, 'neu': 0.892, 'pos': 0.05, 'compound': 0.1255}",0.1255,pos
4,10998,2024-03-26,calms my anxious feelings,"As someone who is very sensitive to different supplements I can't take a few that are popular such as ashwaganda and rhodiola. Passionflower has been my lifesaver! I have taken quite a few different Herb pharm products and have loved them all. Truly a quality product, At a dosage of a dropper 3x a day to calm my anxiety and anxious feelings it works so well without any side effects I was getting with others. The bottle size is small but still lasts me about 2 weeks and is easy to throw in my purse. iherb also offers it at a great price and fast shipping definitely give it a try! ","{'neg': 0.024, 'neu': 0.745, 'pos': 0.231, 'compound': 0.9724}",0.9724,pos
5,10998,2023-12-08,It helps,"I'm supposed to be on medication for anxiety at the lowest possible dose, but I don't want it. I'm fighting it so badly. I discovered passionflower as an option and I'm giving it a try. I tend to be very sensitive to any herbs so I started with 3 drops in a cup of water - just so I would get the energy of the plant. That seemed to help. It even cheered me up as the day went along. ","{'neg': 0.139, 'neu': 0.686, 'pos': 0.175, 'compound': 0.6455}",0.6455,pos
6,10998,2024-05-22,Calming,"Passionflower is promoted as a quality dietary ingredient that benefits anxiety and sleep, as well as for pain, heart rhythm problems, menopausal symptoms, and attention-deficit hyperactivity disorder.","{'neg': 0.28, 'neu': 0.484, 'pos': 0.237, 'compound': -0.3818}",-0.3818,neg
7,10998,2024-03-14,Going good ,"Going good. I’ve been taking for almost 2 months in combination with valerian & Nac for decreasing and coming off of prescription medications. I really see a difference in brain function and memory, cravings, & anxiety; so far. ","{'neg': 0.048, 'neu': 0.871, 'pos': 0.081, 'compound': 0.296}",0.296,pos
8,10998,2024-03-13,High quality ,This is very high quality tincture. This is my favorite brand. A little goes a long way for me. I started with one drop and it was enough because I’m sensitive to herbs. ,"{'neg': 0.063, 'neu': 0.846, 'pos': 0.091, 'compound': 0.2263}",0.2263,pos
9,10998,2024-01-21,"Relaxed, not groggy","HerbPharm Passionflower Tincture helps me get to sleep after a stressful day without any side effects. If I take melatonin, I get groggy the next day. But just one dropper full of passionflower in a little water definitely helps me relax.","{'neg': 0.046, 'neu': 0.639, 'pos': 0.315, 'compound': 0.8918}",0.8918,pos
10,10998,2023-12-07,Passionflower drops,Amazing product with calming benefits and sleep used for natural therapy rather than meds.  Easy to use and noticeable with mood and taste very easy.,"{'neg': 0.0, 'neu': 0.518, 'pos': 0.482, 'compound': 0.9493}",0.9493,pos
11,10998,2022-11-11,Good for sleep,"I take this before bed and I prefer it to valerian; it helps to wind down, relax, and improve sleep quality. This brand has very high quality herbal extracts in my experience; the taste is good and I like to combine it with magnesium and lemon balm for more sleep benefits.","{'neg': 0.0, 'neu': 0.716, 'pos': 0.284, 'compound': 0.9401}",0.9401,pos
12,10998,2024-03-24,Not sure if I noticed it working,"I got this to help with occasional sleeplessness, but I did not find it to have much effect. I trust the quality of herb pharm brand, though. ","{'neg': 0.062, 'neu': 0.722, 'pos': 0.216, 'compound': 0.6705}",0.6705,pos
13,10998,2023-05-19,,"Passionflower helps me deal with anxiety on long flights, or any other stressful situation.  As I have tachycardia,  I always carry a 1 ounce (30 ml) bottle in my backpack, for those days when my heart unexpectedly starts racing.  It also helps with sleepless nights because it has a subtle calming effect.  My mother used Passionflower for her body aches and pains. Highly recommend.","{'neg': 0.136, 'neu': 0.68, 'pos': 0.184, 'compound': 0.3597}",0.3597,pos
14,10998,2024-07-18,Great,Great product and form. I am happy with it.I would highly recommended. Good quality and ingredients. ,"{'neg': 0.0, 'neu': 0.457, 'pos': 0.543, 'compound': 0.9197}",0.9197,pos
15,10998,2024-06-19,HerbPharm is the best tincture,Passionflower is a great relaxant before bed. I keep it in my stock of tinctures.,"{'neg': 0.0, 'neu': 0.575, 'pos': 0.425, 'compound': 0.7506}",0.7506,pos
16,10998,2024-06-01,great for sleep,I use this right before bedtime if i’m having a bout of insomnia and it knocks me right out… in a good way,"{'neg': 0.0, 'neu': 0.868, 'pos': 0.132, 'compound': 0.4404}",0.4404,pos
17,10998,2024-03-04,Helps with sleep,"Consistent product, have been using for years to support and benefit sleep. I definitely believe it helps and would recommend!","{'neg': 0.0, 'neu': 0.504, 'pos': 0.496, 'compound': 0.9151}",0.9151,pos
18,10998,2024-01-03,Always Works Great,"This passionflower tincture always works fast to relieve my anxiety, stress, and menstrual cramps. I have been buying for years!","{'neg': 0.203, 'neu': 0.636, 'pos': 0.161, 'compound': -0.2481}",-0.2481,neg
19,10998,2023-12-04,Good product,Good quality product. Plesant flavor. Result from firs time use -balancing efect. Suited for adult. Package is hard to open. Will order again. ,"{'neg': 0.055, 'neu': 0.83, 'pos': 0.115, 'compound': 0.3612}",0.3612,pos
20,10998,2023-10-31,Gentle on the nerves,The benefit to a calming agent especially for calming the nerves to fall asleep.,"{'neg': 0.074, 'neu': 0.479, 'pos': 0.447, 'compound': 0.7906}",0.7906,pos
21,10998,2023-10-10,goes well with liquid drinks,"I use it in my coffee, herbal tea, or anything liquid to relax me.  It tastes awful by itself but it is tolerable in drinks when I put in a few drops.  It is to be taken 3 times a day between meals.  It reads that it is for the nervous system, calming and relaxing.  I do feel a slight difference in mood after I drink it.   ","{'neg': 0.068, 'neu': 0.789, 'pos': 0.143, 'compound': 0.7311}",0.7311,pos
22,10998,2024-09-07,,"quality and ingredients are well described in compact size, taste is Ok and benefited and bought again","{'neg': 0.0, 'neu': 0.777, 'pos': 0.223, 'compound': 0.5106}",0.5106,pos
23,10998,2024-08-02,helpful,Easy to dose and great quality product. The size is just right to keep in the bag. ,"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.7906}",0.7906,pos
24,10998,2024-06-02,,I like this brand and particular this product smells good ,"{'neg': 0.0, 'neu': 0.565, 'pos': 0.435, 'compound': 0.6597}",0.6597,pos
25,10998,2024-01-27,Repeat order,Good tinctures that helps me with daily sleep: help me calm me down as well,"{'neg': 0.0, 'neu': 0.442, 'pos': 0.558, 'compound': 0.891}",0.891,pos
26,10998,2024-01-18,Good for bedtime,love it for before bedtime and gentle enough to use with kids,"{'neg': 0.0, 'neu': 0.585, 'pos': 0.415, 'compound': 0.7964}",0.7964,pos
27,10998,2023-07-09,Great product,My trusty go to for sleeplessness or having been awakened. It works to relax gently and leaves no after effects. Won’t be without it!,"{'neg': 0.145, 'neu': 0.572, 'pos': 0.283, 'compound': 0.68}",0.68,pos
28,10998,2023-05-16,,This extract is easy to mix in water snd swallow to promote relaxation. This brand is the most pre and trustworthy brand of extracts I know...as with all herbal medicine please consilt ypur physicisn and start slowly in case of allergy or medication interactions. ,"{'neg': 0.0, 'neu': 0.716, 'pos': 0.284, 'compound': 0.9333}",0.9333,pos
29,10998,2023-01-17,,I have had issues with sleep for years and years....Passionflower works better than any other supplement I have tried ...Am now sleeping 8 or more hours ....,"{'neg': 0.0, 'neu': 0.888, 'pos': 0.112, 'compound': 0.4404}",0.4404,pos
30,10998,2022-11-15,,"I bought this to help with sleep from time to time when I'm feeling a bit anxious before bed after hearing about passionflower on a podcast.  I like this particular one as I like the quality of the Herb Pharm brand.  It's definitely gentle, but I think it works.  Like all herbal extracts, I prefer not to use it daily but rather cycle it in and out and only use it when I need it as I feel it works better that way.  ","{'neg': 0.018, 'neu': 0.761, 'pos': 0.222, 'compound': 0.9209}",0.9209,pos
31,10998,2022-09-03,Helps me having a good quality sleep,I use this product to improve my sleep quality: I wanna be able to go to sleep faster (without having thoughts running) and avoid those wake ups during the night. I've tried valerian extract from the same brand then passionflower. Passionflower seems to work better for me. I put 35 drops into a bit of water and drink it 30mn before going to bed. Great brand btw I really love their products and ethics!,"{'neg': 0.027, 'neu': 0.761, 'pos': 0.212, 'compound': 0.9335}",0.9335,pos
32,10998,2023-11-11,good... maybe...,"haven't opened, just read the comments from others, but will update later....","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu
33,10998,2021-11-07,Passion flower ,"I find that the quality of this Passion flower is very good. It really helps me calm down faster and sleep more soundly. I personally find it very potent, so I only need about 6 drops at bedtime. It is very pure Passion flower.I have been using it for a few years very satisfied with the results.","{'neg': 0.0, 'neu': 0.711, 'pos': 0.289, 'compound': 0.9568}",0.9568,pos
34,10998,2023-05-23,Fantastic!,I have already purchased this many times! Very good quality and  helped improve my Mast Cell Activation Syndrome symptoms. The ingredients are organic and safe!,"{'neg': 0.0, 'neu': 0.687, 'pos': 0.313, 'compound': 0.8617}",0.8617,pos
35,10998,2023-08-22,,"excellent product,good and strong packaging , the quality matches the description, I will still recommend ordering to everyone!!! okay
","{'neg': 0.0, 'neu': 0.514, 'pos': 0.486, 'compound': 0.9057}",0.9057,pos
36,10998,2023-07-31,love!,"Was looking for a simple remedy for some anxiety issues. Taken daily, it feels soothing, without making me drowsy.","{'neg': 0.085, 'neu': 0.8, 'pos': 0.115, 'compound': 0.1531}",0.1531,pos
37,10998,2023-07-13,Passionflower drops,"I use this every night in my tea to help me sleep.
It realky does work well with drinking the nighty night tea","{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.5859}",0.5859,pos
38,10998,2023-06-03,,"I love this passionflower. Helps relax my
Body and sleep. My nervous system has been more regulated since taking this","{'neg': 0.077, 'neu': 0.517, 'pos': 0.406, 'compound': 0.836}",0.836,pos
39,10998,2023-03-06,,great qualities and ingredients. Helps with sleep and relaxation as well as hormone benefits. ,"{'neg': 0.0, 'neu': 0.378, 'pos': 0.622, 'compound': 0.93}",0.93,pos
40,10998,2023-02-10,,Mild vegetal flavor that disappears in a drink easily. Did feel mildly relaxed within a few minutes of taking it. ,"{'neg': 0.104, 'neu': 0.652, 'pos': 0.243, 'compound': 0.4939}",0.4939,pos
41,10998,2023-02-08,Good,I started using this recently and it has helped with sleep.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu
42,10998,2022-12-16,For anxiety & panic attacks,Really helped me along with valerian for panic attacks. This doesn't feel sedating the way valerian does but works very well. Love it. ,"{'neg': 0.127, 'neu': 0.586, 'pos': 0.287, 'compound': 0.8024}",0.8024,pos
43,10998,2022-12-08,,Passionflower. Helps calm anxiety and helps with sleep. Easy to take. ,"{'neg': 0.092, 'neu': 0.272, 'pos': 0.636, 'compound': 0.8402}",0.8402,pos
44,10998,2022-11-21,Gentle,"Relaxing ingredient in the day without making you drowsy, unlike valerian","{'neg': 0.0, 'neu': 0.758, 'pos': 0.242, 'compound': 0.4939}",0.4939,pos
45,10998,2022-11-17,Excellent! ,"Hi! I'm happy from this purchase, it really works! Many thanks","{'neg': 0.0, 'neu': 0.547, 'pos': 0.453, 'compound': 0.815}",0.815,pos
46,10998,2022-11-05,,"Quality is good, glass package, composition is good, effective, sleep improvement ","{'neg': 0.0, 'neu': 0.37, 'pos': 0.63, 'compound': 0.8979}",0.8979,pos
47,10998,2022-10-25,,highly recommend... reliable company...helps me to relax...high quality... packaged securely...taste great ,"{'neg': 0.0, 'neu': 0.709, 'pos': 0.291, 'compound': 0.6249}",0.6249,pos
48,10998,2021-07-14,,"My teenage daughter who is having anxiety and depression issues uses this. It helps somewhat with better sleep. Reduced the number of times she wakes up. We use it 3x a day, abt 1/2 a dropper each time, last one being 1 hour before sleep. But of course she doesn’t like the taste haha! We dilute it with a little water.","{'neg': 0.056, 'neu': 0.758, 'pos': 0.186, 'compound': 0.8226}",0.8226,pos
49,10998,2022-09-26,,I have tried many products on the market to help me sleep a deep satisfying sleep but none worked like Passionflower.  I highly recommend it.,"{'neg': 0.14, 'neu': 0.596, 'pos': 0.264, 'compound': 0.5486}",0.5486,pos
50,10998,2022-07-09,,Totally chills you out. Dont mix with sedatives. I did and when I woke up it took me ages to work out what day it was.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu
51,10998,2023-06-15,,Herb Pharm passionflower seems to be good for making a difference for calming the body. ,"{'neg': 0.0, 'neu': 0.615, 'pos': 0.385, 'compound': 0.7096}",0.7096,pos
52,10998,2017-03-16,Better sleep,"I was suffering from a crazy insomnia that had all my sleeping pattern and daily life messed up. 
My naturopath doctor recommended me to use those (together with the valerian from the same brand) to relax and improve my sleeping (and so my daily routine). 
From the first week I felt the difference and definetly i feel more relaxed and i am improving my sleeping pattern so much.","{'neg': 0.103, 'neu': 0.716, 'pos': 0.181, 'compound': 0.7178}",0.7178,pos
53,10998,2012-08-18,Excellent for anxiety,"I haven't been taking this for long but already know it is excellent. I notice the difference straight away. I tend to get a lot of anxiety that comes up regularly and taking this every morning takes the anxiety down to where it really isn't there anymore. It totally relaxes my whole system. It has also been really effective when I take it before sleep to help me have a deep and relaxed sleep. 
I also use it as passionflower has benefits of relaxing the system enough to allow bad oestrogen to be detoxified from the body. I use it in conjunction with msm and find the combination to be really effective for detoxing and general wellbeing. ","{'neg': 0.062, 'neu': 0.662, 'pos': 0.276, 'compound': 0.9858}",0.9858,pos
54,10998,2023-01-29,,"It's okay, but not as strong as I would like. ","{'neg': 0.249, 'neu': 0.421, 'pos': 0.33, 'compound': 0.0379}",0.0379,neu
55,10998,2015-09-25,Love It!,"I take 10 drops with water in the morning and again in the evening.  I always feel calm, and don't notice any anxiety unless I miss a few doses.","{'neg': 0.058, 'neu': 0.802, 'pos': 0.139, 'compound': 0.3}",0.3,pos
56,10998,2020-12-10,,I experience a lot of anxiety and sleeping issues. My herbalist recommended this mixed with lemon balm to relax me. It has a very gentle relaxing effect. It doesn’t feel forced like some prescription medications. ,"{'neg': 0.108, 'neu': 0.574, 'pos': 0.318, 'compound': 0.847}",0.847,pos
57,10998,2012-02-26,strong and powerful herb,"I havent been using this herb for very long, I would suggest starting very slowly as it is strong. I think it may have given me hives, so I cut back, an excellent herb if you can take it","{'neg': 0.066, 'neu': 0.767, 'pos': 0.168, 'compound': 0.6438}",0.6438,pos
58,10998,2023-06-08,,"Terrible taste, not even close to passionflower!! I like some other products from this brand and this product was very disappointing!","{'neg': 0.274, 'neu': 0.587, 'pos': 0.139, 'compound': -0.6877}",-0.6877,neg
59,10998,2021-12-31,,One of my favourite tinctures. I use it daily and regularly repurchase it. Only downside is the price.,"{'neg': 0.111, 'neu': 0.889, 'pos': 0.0, 'compound': -0.25}",-0.25,neg
60,10998,2021-07-27,Relax,"It works for me, I took several drops at night.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu
61,10998,2022-04-15,,Herb pharm has the best tinctures ,"{'neg': 0.0, 'neu': 0.543, 'pos': 0.457, 'compound': 0.6369}",0.6369,pos
62,10998,2011-06-17,Herb Pharm Passionflowet,This is the first time I have used this product and this company. I am pleased to say that both the product and the company are excellent. Prompt delivery and a very fresh product. I shall be ordering more in the near future. Thank you.,"{'neg': 0.0, 'neu': 0.76, 'pos': 0.24, 'compound': 0.8932}",0.8932,pos
63,10998,2021-05-15,,Part of my cooling down regiment before going to sleep,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neu
