Product_name,product_id,User,Review_title,Review_description,Rating,Dates,combined_review,sentiment_scores,sentiment
"Swanson Lemon Balm, Passion Flower, Skullcap Complex 180 Capsules",611375671,Tisha,,love to take at night to relax and get sleep.,5/5,  , love to take at night to relax and get sleep.,"{'neg': 0.0, 'neu': 0.53, 'pos': 0.47, 'compound': 0.7964}",positive
"Swanson Lemon Balm, Passion Flower, Skullcap Complex 180 Capsules",611375671,Jackie,Decent product  just not strong enough for me,Good quality as usual for Swanson which is my brand of choice.  this would be great for someone with milder issues.  however as someone who has severe sleep issues like not sleeping for 3 or 4 days without RX meds and herbals combined this isn't strong enough.  my fault for not reading the label.,5/5,10/5/2023,Decent product  just not strong enough for me Good quality as usual for Swanson which is my brand of choice.  this would be great for someone with milder issues.  however as someone who has severe sleep issues like not sleeping for 3 or 4 days without RX meds and herbals combined this isn't strong enough.  my fault for not reading the label.,"{'neg': 0.146, 'neu': 0.724, 'pos': 0.13, 'compound': -0.0526}",negative
"Swanson Lemon Balm, Passion Flower, Skullcap Complex 180 Capsules",611375671,Anonymous,I ?? THIS ONE!!,"I love deep, uninterrupted sleep. But sometimes it doesn't quite work out that way ??. I've tried melatonin plus l-theanine, with unimpressive results. THIS combination- passionflower + valerian + skullcap is honestly amazing. I take it about an hour before bedtime and then simply sleep through the night. The whole night! And even though I am not really a morning person, after I move around for a few minutes I don't feel sluggish at all.",5/5,10/6/2023,"I ?? THIS ONE!! I love deep, uninterrupted sleep. But sometimes it doesn't quite work out that way ??. I've tried melatonin plus l-theanine, with unimpressive results. THIS combination- passionflower + valerian + skullcap is honestly amazing. I take it about an hour before bedtime and then simply sleep through the night. The whole night! And even though I am not really a morning person, after I move around for a few minutes I don't feel sluggish at all.","{'neg': 0.037, 'neu': 0.749, 'pos': 0.214, 'compound': 0.942}",positive
"Swanson Lemon Balm, Passion Flower, Skullcap Complex 180 Capsules",611375671,Walmart Customer,Great for having at bedtime,"My husband and I love this product. We used to use melatonin, however we had nasty side effects. We switched over to this product and sleep like a baby. All of our stress and worries subside. The only problem I find now is it's always out of stock. This product is definitely worth waiting for and buying.",5/5,10/7/2023,"Great for having at bedtime My husband and I love this product. We used to use melatonin, however we had nasty side effects. We switched over to this product and sleep like a baby. All of our stress and worries subside. The only problem I find now is it's always out of stock. This product is definitely worth waiting for and buying.","{'neg': 0.154, 'neu': 0.647, 'pos': 0.199, 'compound': 0.5423}",positive
"Swanson Lemon Balm, Passion Flower, Skullcap Complex 180 Capsules",611375671,Amanda C.,Great for having at bedtime,"My husband and I love this product. We used to use melatonin, however we had nasty side effects. We switched over to this product and sleep like a baby. All of our stress and worries subside. The only problem I find now is it's always out of stock. This product is definitely worth waiting for and buying.",5/5,10/8/2023,"Great for having at bedtime My husband and I love this product. We used to use melatonin, however we had nasty side effects. We switched over to this product and sleep like a baby. All of our stress and worries subside. The only problem I find now is it's always out of stock. This product is definitely worth waiting for and buying.","{'neg': 0.154, 'neu': 0.647, 'pos': 0.199, 'compound': 0.5423}",positive
"Swanson Lemon Balm, Passion Flower, Skullcap Complex 180 Capsules",611375671,Anonymous,Very effective,Great for calming the nervous system before bed.??,5/5,10/9/2023,Very effective Great for calming the nervous system before bed.??,"{'neg': 0.111, 'neu': 0.317, 'pos': 0.572, 'compound': 0.8668}",positive
"Swanson Lemon Balm, Passion Flower, Skullcap Complex 180 Capsules",611375671,David/ Jennifer J.,Very helpful,"I  can rest more peacefully and quietly after taking this combination, along with some simple stress management, of course. Thank you for providing this herbal formula!",5/5,10/10/2023,"Very helpful I  can rest more peacefully and quietly after taking this combination, along with some simple stress management, of course. Thank you for providing this herbal formula!","{'neg': 0.079, 'neu': 0.65, 'pos': 0.271, 'compound': 0.7768}",positive
"Swanson Lemon Balm, Passion Flower, Skullcap Complex 180 Capsules",611375671,Robbie,vitamins,it's  working with other vitamins to help with some issues I have,4/5,10/11/2023,vitamins it's  working with other vitamins to help with some issues I have,"{'neg': 0.0, 'neu': 0.803, 'pos': 0.197, 'compound': 0.4019}",positive
"Swanson Lemon Balm, Passion Flower, Skullcap Complex 180 Capsules",611375671,Walmart Customer,Worth trying,"When I take a capsule before bed time, I become really relaxed and ready for sleep, sometimes I do sleep through the night, but it is not every night when I wake up it can take a while to fall back to sleep.  I thought that these wonderful herbs would allow my mind to quiet.",3/5,10/12/2023,"Worth trying When I take a capsule before bed time, I become really relaxed and ready for sleep, sometimes I do sleep through the night, but it is not every night when I wake up it can take a while to fall back to sleep.  I thought that these wonderful herbs would allow my mind to quiet.","{'neg': 0.0, 'neu': 0.776, 'pos': 0.224, 'compound': 0.8996}",positive
"Swanson Lemon Balm, Passion Flower, Skullcap Complex 180 Capsules",611375671,Walmart Customer,,Take 1 before bed. Seems to help...,5/5,10/13/2023, Take 1 before bed. Seems to help...,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
