Product_name,product_id,User,,Review_title,Review_description,Rating,Dates
"Swanson Lemon Balm, Passion Flower, Skullcap Complex 180 Capsules",611375671,Tisha,,,love to take at night to relax and get sleep.,5/5,  
"Swanson Lemon Balm, Passion Flower, Skullcap Complex 180 Capsules",611375671,Jackie,,Decent product  just not strong enough for me,Good quality as usual for Swanson which is my brand of choice.  this would be great for someone with milder issues.  however as someone who has severe sleep issues like not sleeping for 3 or 4 days without RX meds and herbals combined this isn't strong enough.  my fault for not reading the label.,5/5,10/5/2023
"Swanson Lemon Balm, Passion Flower, Skullcap Complex 180 Capsules",611375671,Anonymous,,I ?? THIS ONE!!,"I love deep, uninterrupted sleep. But sometimes it doesn't quite work out that way ??. I've tried melatonin plus l-theanine, with unimpressive results. THIS combination- passionflower + valerian + skullcap is honestly amazing. I take it about an hour before bedtime and then simply sleep through the night. The whole night! And even though I am not really a morning person, after I move around for a few minutes I don't feel sluggish at all.",5/5,10/6/2023
"Swanson Lemon Balm, Passion Flower, Skullcap Complex 180 Capsules",611375671,Walmart Customer,,Great for having at bedtime,"My husband and I love this product. We used to use melatonin, however we had nasty side effects. We switched over to this product and sleep like a baby. All of our stress and worries subside. The only problem I find now is it's always out of stock. This product is definitely worth waiting for and buying.",5/5,10/7/2023
"Swanson Lemon Balm, Passion Flower, Skullcap Complex 180 Capsules",611375671,Amanda C.,,Great for having at bedtime,"My husband and I love this product. We used to use melatonin, however we had nasty side effects. We switched over to this product and sleep like a baby. All of our stress and worries subside. The only problem I find now is it's always out of stock. This product is definitely worth waiting for and buying.",5/5,10/8/2023
"Swanson Lemon Balm, Passion Flower, Skullcap Complex 180 Capsules",611375671,Anonymous,,Very effective,Great for calming the nervous system before bed.??,5/5,10/9/2023
"Swanson Lemon Balm, Passion Flower, Skullcap Complex 180 Capsules",611375671,David/ Jennifer J.,,Very helpful,"I  can rest more peacefully and quietly after taking this combination, along with some simple stress management, of course. Thank you for providing this herbal formula!",5/5,10/10/2023
"Swanson Lemon Balm, Passion Flower, Skullcap Complex 180 Capsules",611375671,Robbie,,vitamins,it's  working with other vitamins to help with some issues I have,5/4,10/11/2023
"Swanson Lemon Balm, Passion Flower, Skullcap Complex 180 Capsules",611375671,Walmart Customer,,Worth trying,"When I take a capsule before bed time, I become really relaxed and ready for sleep, sometimes I do sleep through the night, but it is not every night when I wake up it can take a while to fall back to sleep.  I thought that these wonderful herbs would allow my mind to quiet.",5/3,10/12/2023
"Swanson Lemon Balm, Passion Flower, Skullcap Complex 180 Capsules",611375671,Walmart Customer,,,Take 1 before bed. Seems to help...,5/5,10/13/2023
"Swanson Lemon Balm, Passion Flower, Skullcap Complex 180 Capsules",611375671,Vic P,,,Take 1 before bed. Seems to help...,5/5,10/14/2023
"Swanson Lemon Balm, Passion Flower, Skullcap Complex 180 Capsules",611375671,Heidi A.,,Sleep well,Works great. This is the best so far. Will buy again.,5/5,10/15/2023
"Swanson Lemon Balm, Passion Flower, Skullcap Complex 180 Capsules",611375671,Brenda W.,,,I have used this product for several years. Take it mostly at night because it helps me sleep. My husband has even been taking it,5/5,10/16/2023
"Swanson Lemon Balm, Passion Flower, Skullcap Complex 180 Capsules",611375671,Walmart Customer,,,This helps me sleep better at night. I wake frequently through the night. I feel this product has lessened the frequency.,5/4,10/17/2023
"Swanson Lemon Balm, Passion Flower, Skullcap Complex 180 Capsules",611375671,Walmart Customer,,,I have used this product for several years. Take it mostly at night because it helps me sleep. My husband has even been taking it,5/5,10/18/2023
"Swanson Lemon Balm, Passion Flower, Skullcap Complex 180 Capsules",611375671,Vic P.,,,Take 1 before bed. Seems to help...,5/5,10/19/2023
"Swanson Lemon Balm, Passion Flower, Skullcap Complex 180 Capsules",611375671,Walmart Customer,,Great!!!,I like the combo- all herbs for stress and relaxation combined.,5/5,10/20/2023
"Swanson Lemon Balm, Passion Flower, Skullcap Complex 180 Capsules",611375671,pwrgreg007,,Calming,Helps calm me down after a hectic day at work. I notice the effects a few minutes after taking.,5/5,10/21/2023
"Swanson Lemon Balm, Passion Flower, Skullcap Complex 180 Capsules",611375671,Howard S.,,Great!!!,I like the combo- all herbs for stress and relaxation combined.,5/5,10/22/2023
"Swanson Lemon Balm, Passion Flower, Skullcap Complex 180 Capsules",611375671,Anonymous,,,Take 1 before bed. Seems to help...,5/5,10/23/2023
"Swanson Lemon Balm, Passion Flower, Skullcap Complex 180 Capsules",611375671,Shari B.,,Better sleep!,I'm loving it! This really helps me sleep better at night which is Amazing!,5/5,10/24/2023
